county_name,median_household_income,housing_units,state_fips,county_fips
"Fulton County, Arkansas",38917,6247,05,049
"Garland County, Arkansas",54229,52383,05,051
"Grant County, Arkansas",68598,7874,05,053
"Greene County, Arkansas",54879,19235,05,055
"Hempstead County, Arkansas",45049,9663,05,057
"Hot Spring County, Arkansas",50260,14247,05,059
"Howard County, Arkansas",44824,6168,05,061
"Independence County, Arkansas",52361,16689,05,063
"Izard County, Arkansas",46159,6764,05,065
"Jackson County, Arkansas",41929,7118,05,067
"Jefferson County, Arkansas",46855,30767,05,069
"Johnson County, Arkansas",42470,11503,05,071
"Lafayette County, Arkansas",40262,3948,05,073
"Lawrence County, Arkansas",43606,7556,05,075
"Lee County, Arkansas",33801,3736,05,077
"Lincoln County, Arkansas",50526,4400,05,079
"Little River County, Arkansas",58627,6077,05,081
"Logan County, Arkansas",51131,9779,05,083
"Lonoke County, Arkansas",68078,30238,05,085
"Madison County, Arkansas",51514,7666,05,087
"Marion County, Arkansas",42891,9515,05,089
"Miller County, Arkansas",47613,19790,05,091
"Mississippi County, Arkansas",50012,19194,05,093
"Monroe County, Arkansas",41786,3864,05,095
"Montgomery County, Arkansas",47103,5473,05,097
"Nevada County, Arkansas",43421,4323,05,099
"Newton County, Arkansas",50699,4124,05,101
"Ouachita County, Arkansas",47348,11925,05,103
"Perry County, Arkansas",53980,4946,05,105
"Phillips County, Arkansas",37458,8434,05,107
"Pike County, Arkansas",49248,5319,05,109
"Poinsett County, Arkansas",43440,10415,05,111
"Polk County, Arkansas",48449,9652,05,113
"Pope County, Arkansas",51678,26940,05,115
"Prairie County, Arkansas",47045,4105,05,117
"Pulaski County, Arkansas",58326,190782,05,119
"Randolph County, Arkansas",45993,8587,05,121
"St. Francis County, Arkansas",39822,9653,05,123
"Saline County, Arkansas",73236,51927,05,125
"Scott County, Arkansas",45340,4880,05,127
"Searcy County, Arkansas",42063,4725,05,129
"Sebastian County, Arkansas",54047,56926,05,131
"Sevier County, Arkansas",53567,6767,05,133
"Sharp County, Arkansas",43332,9535,05,135
"Stone County, Arkansas",37664,6796,05,137
"Union County, Arkansas",49745,18722,05,139
"Van Buren County, Arkansas",45768,9725,05,141
"Washington County, Arkansas",61985,100954,05,143
"White County, Arkansas",51144,33395,05,145
"Woodruff County, Arkansas",49608,3289,05,147
"Yell County, Arkansas",55879,9293,05,149
"Alameda County, California",122488,622856,06,001
"Alpine County, California",101125,1617,06,003
"Amador County, California",74853,18813,06,005
"Butte County, California",66085,93069,06,007
"Calaveras County, California",77526,27521,06,009
"Colusa County, California",69619,8107,06,011
"Contra Costa County, California",120020,424057,06,013
"Del Norte County, California",61149,11103,06,015
"El Dorado County, California",99246,93679,06,017
"Fresno County, California",67756,339270,06,019
"Glenn County, California",64033,10914,06,021
"Humboldt County, California",57881,62306,06,023
"Imperial County, California",53847,56907,06,025
"Inyo County, California",63417,9471,06,027
"Kern County, California",63883,301687,06,029
"Kings County, California",68540,46500,06,031
"Lake County, California",56259,34313,06,033
"Lassen County, California",59515,12266,06,035
"Los Angeles County, California",83411,3599561,06,037
"Madera County, California",73543,49880,06,039
"Marin County, California",142019,111681,06,041
"Mariposa County, California",60021,9824,06,043
"Mendocino County, California",61335,41380,06,045
"Merced County, California",64772,87895,06,047
"Modoc County, California",54962,4784,06,049
"Mono County, California",82038,13625,06,051
"Monterey County, California",91043,143743,06,053
"Napa County, California",105809,55588,06,055
"Nevada County, California",79395,53690,06,057
"Orange County, California",109361,1130658,06,059
"Placer County, California",109375,173090,06,061
"Plumas County, California",67885,15436,06,063
"Riverside County, California",84505,851646,06,065
"Sacramento County, California",84010,588894,06,067
"San Benito County, California",104451,20485,06,069
"San Bernardino County, California",77423,733104,06,071
"San Diego County, California",96974,1230349,06,073
