county_name,median_household_income,housing_units,state_fips,county_fips
"Franklin County, Illinois",51031,18478,17,055
"Fulton County, Illinois",57223,15895,17,057
"Gallatin County, Illinois",51868,2512,17,059
"Greene County, Illinois",58900,5820,17,061
"Grundy County, Illinois",89993,21195,17,063
"Hamilton County, Illinois",60574,3821,17,065
"Hancock County, Illinois",61026,8956,17,067
"Hardin County, Illinois",53026,2263,17,069
"Henderson County, Illinois",64946,3387,17,071
"Henry County, Illinois",66313,22213,17,073
"Iroquois County, Illinois",62866,12815,17,075
"Jackson County, Illinois",44847,27835,17,077
"Jasper County, Illinois",67429,4225,17,079
"Jefferson County, Illinois",58384,16659,17,081
"Jersey County, Illinois",77607,9834,17,083
"Jo Daviess County, Illinois",67729,13439,17,085
"Johnson County, Illinois",63295,5536,17,087
"Kane County, Illinois",96400,188854,17,089
"Kankakee County, Illinois",65489,45312,17,091
"Kendall County, Illinois",106358,45078,17,093
"Knox County, Illinois",50263,23809,17,095
"Lake County, Illinois",104553,269416,17,097
"LaSalle County, Illinois",67942,49796,17,099
"Lawrence County, Illinois",55811,6355,17,101
"Lee County, Illinois",64588,14993,17,103
"Livingston County, Illinois",68175,15909,17,105
"Logan County, Illinois",62547,11985,17,107
"McDonough County, Illinois",48904,13655,17,109
"McHenry County, Illinois",100101,119985,17,111
"McLean County, Illinois",75356,74822,17,113
"Macon County, Illinois",59622,49757,17,115
"Macoupin County, Illinois",64706,21091,17,117
"Madison County, Illinois",71759,118715,17,119
"Marion County, Illinois",59099,17431,17,121
"Marshall County, Illinois",64940,5828,17,123
"Mason County, Illinois",58479,6646,17,125
"Massac County, Illinois",57365,6832,17,127
"Menard County, Illinois",84846,5605,17,129
"Mercer County, Illinois",67028,7311,17,131
"Monroe County, Illinois",100685,14560,17,133
"Montgomery County, Illinois",61796,12539,17,135
"Morgan County, Illinois",61188,15072,17,137
"Moultrie County, Illinois",72833,6196,17,139
"Ogle County, Illinois",75782,22640,17,141
"Peoria County, Illinois",63409,84963,17,143
"Perry County, Illinois",56338,9170,17,145
"Piatt County, Illinois",81151,7377,17,147
"Pike County, Illinois",55514,7308,17,149
"Pope County, Illinois",57582,2317,17,151
"Pulaski County, Illinois",41038,2862,17,153
"Putnam County, Illinois",75726,3071,17,155
"Randolph County, Illinois",63860,13412,17,157
"Richland County, Illinois",61607,7364,17,159
"Rock Island County, Illinois",64435,66731,17,161
"St. Clair County, Illinois",68915,115165,17,163
"Saline County, Illinois",51710,11579,17,165
"Sangamon County, Illinois",71653,92938,17,167
"Schuyler County, Illinois",63737,3316,17,169
"Scott County, Illinois",70500,2389,17,171
"Shelby County, Illinois",65585,10053,17,173
"Stark County, Illinois",58125,2588,17,175
"Stephenson County, Illinois",57527,21402,17,177
"Tazewell County, Illinois",74606,58634,17,179
"Union County, Illinois",54090,7869,17,181
"Vermilion County, Illinois",52787,34496,17,183
"Wabash County, Illinois",54074,5411,17,185
"Warren County, Illinois",62700,7602,17,187
"Washington County, Illinois",75111,6415,17,189
"Wayne County, Illinois",53522,7694,17,191
"White County, Illinois",54605,6778,17,193
"Whiteside County, Illinois",62828,25860,17,195
"Will County, Illinois",103678,251029,17,197
"Williamson County, Illinois",60325,31811,17,199
"Winnebago County, Illinois",61738,125039,17,201
"Woodford County, Illinois",80093,15711,17,203
"Adams County, Indiana",61731,13212,18,001
"Allen County, Indiana",66222,162764,18,003
"Bartholomew County, Indiana",76912,35328,18,005
"Benton County, Indiana",58620,3795,18,007
"Blackford County, Indiana",51108,5864,18,009
"Boone County, Indiana",103038,28372,18,011
"Brown County, Indiana",73933,8484,18,013
"Carroll County, Indiana",61464,9525,18,015
"Cass County, Indiana",55862,16387,18,017
"Clark County, Indiana",69005,52750,18,019
"Clay County, Indiana",68364,11651,18,021
"Clinton County, Indiana",59515,13481,18,023
"Crawford County, Indiana",46706,5863,18,025
"Daviess County, Indiana",64113,12739,18,027
"Dearborn County, Indiana",80352,20884,18,029
"Decatur County, Indiana",71566,11554,18,031
"DeKalb County, Indiana",68110,18157,18,033
"Delaware County, Indiana",53377,51613,18,035
"Dubois County, Indiana",68945,18595,18,037
"Elkhart County, Indiana",63978,79808,18,039
"Fayette County, Indiana",52219,10896,18,041
"Floyd County, Indiana",75686,34358,18,043
"Fountain County, Indiana",60559,7795,18,045
"Franklin County, Indiana",75985,9687,18,047
"Fulton County, Indiana",62644,9540,18,049
"Gibson County, Indiana",64153,14658,18,051
"Grant County, Indiana",53033,29856,18,053
"Greene County, Indiana",57771,14385,18,055
"Hamilton County, Indiana",114866,136401,18,057
"Hancock County, Indiana",85262,32477,18,059
"Harrison County, Indiana",71302,16752,18,061
"Hendricks County, Indiana",95261,67177,18,063
"Henry County, Indiana",57632,20978,18,065
"Howard County, Indiana",62014,39613,18,067
"Huntington County, Indiana",59894,16241,18,069
"Jackson County, Indiana",65609,19144,18,071
"Jasper County, Indiana",77777,13579,18,073
"Jay County, Indiana",52231,8919,18,075
"Jefferson County, Indiana",57801,14414,18,077
"Jennings County, Indiana",66892,11646,18,079
"Johnson County, Indiana",82730,63818,18,081
"Knox County, Indiana",58173,16938,18,083
"Kosciusko County, Indiana",70945,38312,18,085
"LaGrange County, Indiana",81658,14882,18,087
"Lake County, Indiana",66375,215277,18,089
"LaPorte County, Indiana",66854,49763,18,091
"Lawrence County, Indiana",64210,20538,18,093
"Madison County, Indiana",60060,58913,18,095
"Marion County, Indiana",59504,436859,18,097
"Marshall County, Indiana",66016,19828,18,099
"Martin County, Indiana",65489,4593,18,101
"Miami County, Indiana",59551,14901,18,103
"Monroe County, Indiana",60308,64009,18,105
"Montgomery County, Indiana",62937,16504,18,107
"Morgan County, Indiana",79134,29442,18,109
"Newton County, Indiana",63673,6037,18,111
"Noble County, Indiana",70286,20127,18,113
"Ohio County, Indiana",66333,2736,18,115
"Orange County, Indiana",60775,9074,18,117
"Owen County, Indiana",57947,9833,18,119
"Parke County, Indiana",63393,7604,18,121
"Perry County, Indiana",58936,8533,18,123
"Pike County, Indiana",64182,5590,18,125
"Porter County, Indiana",82915,71572,18,127
"Posey County, Indiana",75594,11068,18,129
"Pulaski County, Indiana",56823,5837,18,131
"Putnam County, Indiana",70609,14994,18,133
"Randolph County, Indiana",59674,11399,18,135
"Ripley County, Indiana",70285,12301,18,137
"Rush County, Indiana",62386,7357,18,139
"St. Joseph County, Indiana",61877,118075,18,141
"Scott County, Indiana",49343,10734,18,143
"Shelby County, Indiana",66449,19458,18,145
"Spencer County, Indiana",66168,8646,18,147
"Starke County, Indiana",59916,11157,18,149
"Steuben County, Indiana",68837,18982,18,151
"Sullivan County, Indiana",54556,8787,18,153
"Switzerland County, Indiana",66525,4392,18,155
"Tippecanoe County, Indiana",55728,78105,18,157
"Tipton County, Indiana",71947,6817,18,159
"Union County, Indiana",68514,3237,18,161
"Vanderburgh County, Indiana",58839,84426,18,163
"Vermillion County, Indiana",59567,7301,18,165
"Vigo County, Indiana",52789,46946,18,167
"Wabash County, Indiana",66194,14053,18,169
"Warren County, Indiana",72833,3671,18,171
"Warrick County, Indiana",91105,26274,18,173
"Washington County, Indiana",60695,12149,18,175
"Wayne County, Indiana",54854,30782,18,177
"Wells County, Indiana",68074,11961,18,179
"White County, Indiana",65345,12908,18,181
"Whitley County, Indiana",73636,14868,18,183
"Adair County, Iowa",63172,3606,19,001
"Adams County, Iowa",64750,1893,19,003
"Allamakee County, Iowa",64049,7696,19,005
"Appanoose County, Iowa",50684,6321,19,007
"Audubon County, Iowa",54973,2805,19,009
"Benton County, Iowa",79444,11074,19,011
"Black Hawk County, Iowa",62329,58599,19,013
"Boone County, Iowa",75759,11950,19,015
"Bremer County, Iowa",84727,10493,19,017
"Buchanan County, Iowa",73493,8911,19,019
"Buena Vista County, Iowa",62662,8197,19,021
"Butler County, Iowa",65743,6545,19,023
"Calhoun County, Iowa",65614,4794,19,025
"Carroll County, Iowa",68041,9515,19,027
"Cass County, Iowa",60815,6403,19,029
"Cedar County, Iowa",76959,8213,19,031
"Cerro Gordo County, Iowa",63149,22651,19,033
"Cherokee County, Iowa",63638,5553,19,035
"Chickasaw County, Iowa",72734,5540,19,037
"Clarke County, Iowa",63120,4321,19,039
"Clay County, Iowa",61756,8098,19,041
"Clayton County, Iowa",60441,8779,19,043
"Clinton County, Iowa",61080,21575,19,045
"Crawford County, Iowa",61188,6860,19,047
"Dallas County, Iowa",99533,41753,19,049
"Davis County, Iowa",77176,3588,19,051
"Decatur County, Iowa",56068,3662,19,053
"Delaware County, Iowa",75896,8107,19,055
"Des Moines County, Iowa",58084,18791,19,057
"Dickinson County, Iowa",72446,13841,19,059
"Dubuque County, Iowa",73495,42707,19,061
"Emmet County, Iowa",64461,4513,19,063
"Fayette County, Iowa",56043,9323,19,065
"Floyd County, Iowa",62356,7337,19,067
"Franklin County, Iowa",62214,4668,19,069
"Fremont County, Iowa",69375,3144,19,071
"Greene County, Iowa",56884,4325,19,073
"Grundy County, Iowa",80701,5457,19,075
"Guthrie County, Iowa",75795,5783,19,077
"Hamilton County, Iowa",66685,7042,19,079
"Hancock County, Iowa",67865,5127,19,081
"Hardin County, Iowa",64656,8031,19,083
"Harrison County, Iowa",75830,6684,19,085
"Henry County, Iowa",62365,8412,19,087
"Howard County, Iowa",63947,4307,19,089
"Humboldt County, Iowa",66617,4571,19,091
"Ida County, Iowa",63125,3365,19,093
"Iowa County, Iowa",69787,7342,19,095
"Jackson County, Iowa",69709,9260,19,097
"Jasper County, Iowa",67784,16183,19,099
"Jefferson County, Iowa",52210,7685,19,101
"Johnson County, Iowa",72977,66163,19,103
"Jones County, Iowa",68781,8893,19,105
"Keokuk County, Iowa",60016,4668,19,107
"Kossuth County, Iowa",62553,7227,19,109
"Lee County, Iowa",58094,15869,19,111
"Linn County, Iowa",75457,101214,19,113
"Louisa County, Iowa",72500,4743,19,115
"Lucas County, Iowa",63405,4080,19,117
"Lyon County, Iowa",73735,4853,19,119
"Madison County, Iowa",88110,6953,19,121
"Mahaska County, Iowa",65200,9700,19,123
"Marion County, Iowa",74193,14179,19,125
"Marshall County, Iowa",70828,16795,19,127
"Mills County, Iowa",81907,6121,19,129
"Mitchell County, Iowa",66056,4885,19,131
"Monona County, Iowa",59897,4403,19,133
"Monroe County, Iowa",76324,3660,19,135
"Montgomery County, Iowa",61261,5030,19,137
"Muscatine County, Iowa",67427,18386,19,139
"O'Brien County, Iowa",65076,6546,19,141
"Osceola County, Iowa",67561,2885,19,143
"Page County, Iowa",58264,6997,19,145
"Palo Alto County, Iowa",67306,4509,19,147
"Plymouth County, Iowa",79963,10819,19,149
"Pocahontas County, Iowa",61434,3663,19,151
"Polk County, Iowa",78827,211392,19,153
"Pottawattamie County, Iowa",68718,39914,19,155
"Poweshiek County, Iowa",61192,8942,19,157
"Ringgold County, Iowa",67898,2673,19,159
"Sac County, Iowa",68778,5143,19,161
"Scott County, Iowa",72792,77613,19,163
"Shelby County, Iowa",70295,5422,19,165
"Sioux County, Iowa",81914,13046,19,167
"Story County, Iowa",66197,41347,19,169
"Tama County, Iowa",65483,7589,19,171
"Taylor County, Iowa",65926,2908,19,173
"Union County, Iowa",56495,5791,19,175
"Van Buren County, Iowa",58417,3509,19,177
"Wapello County, Iowa",56209,15754,19,179
"Warren County, Iowa",89741,21083,19,181
"Washington County, Iowa",71122,9606,19,183
"Wayne County, Iowa",58257,3032,19,185
"Webster County, Iowa",65335,16981,19,187
"Winnebago County, Iowa",62853,5089,19,189
"Winneshiek County, Iowa",67770,8958,19,191
"Woodbury County, Iowa",68399,42864,19,193
"Worth County, Iowa",69897,3486,19,195
"Wright County, Iowa",58240,6281,19,197
"Allen County, Kansas",55059,6067,20,001
"Anderson County, Kansas",67651,3568,20,003
"Atchison County, Kansas",55281,6817,20,005
"Barber County, Kansas",53774,2496,20,007
"Barton County, Kansas",54634,12396,20,009
"Bourbon County, Kansas",55826,6779,20,011
"Brown County, Kansas",55876,4507,20,013
"Butler County, Kansas",77724,27019,20,015
"Chase County, Kansas",52481,1407,20,017
"Chautauqua County, Kansas",51210,1983,20,019
"Cherokee County, Kansas",53382,9168,20,021
"Cheyenne County, Kansas",52730,1453,20,023
"Clark County, Kansas",58287,1044,20,025
"Clay County, Kansas",57765,3935,20,027
"Cloud County, Kansas",51197,4520,20,029
"Coffey County, Kansas",67645,3976,20,031
"Comanche County, Kansas",49754,1035,20,033
"Cowley County, Kansas",55726,15626,20,035
"Crawford County, Kansas",49779,18029,20,037
"Decatur County, Kansas",49412,1646,20,039
"Dickinson County, Kansas",62971,8785,20,041
"Doniphan County, Kansas",66358,3386,20,043
"Douglas County, Kansas",66153,52818,20,045
"Edwards County, Kansas",52750,1549,20,047
"Elk County, Kansas",50000,1511,20,049
"Ellis County, Kansas",59665,13214,20,051
"Ellsworth County, Kansas",59844,3102,20,053
"Finney County, Kansas",68481,14174,20,055
"Ford County, Kansas",67997,12568,20,057
"Franklin County, Kansas",68217,11180,20,059
"Geary County, Kansas",57992,15893,20,061
"Gove County, Kansas",59417,1336,20,063
"Graham County, Kansas",47071,1432,20,065
"Grant County, Kansas",84808,2932,20,067
"Gray County, Kansas",74500,2334,20,069
"Greeley County, Kansas",69948,633,20,071
"Greenwood County, Kansas",51812,3671,20,073
"Hamilton County, Kansas",58750,967,20,075
"Harper County, Kansas",53032,3045,20,077
"Harvey County, Kansas",70685,14585,20,079
"Haskell County, Kansas",66458,1551,20,081
"Hodgeman County, Kansas",63125,851,20,083
"Jackson County, Kansas",70385,5612,20,085
"Jefferson County, Kansas",74562,7967,20,087
"Jewell County, Kansas",47109,1774,20,089
"Johnson County, Kansas",103644,252108,20,091
"Kearny County, Kansas",68750,1582,20,093
"Kingman County, Kansas",59640,3671,20,095
"Kiowa County, Kansas",70347,1158,20,097
"Labette County, Kansas",56143,9542,20,099
"Lane County, Kansas",52222,887,20,101
"Leavenworth County, Kansas",84307,31280,20,103
"Lincoln County, Kansas",52540,1679,20,105
"Linn County, Kansas",56697,5144,20,107
"Logan County, Kansas",70382,1372,20,109
"Lyon County, Kansas",56415,14998,20,111
"McPherson County, Kansas",71250,13082,20,113
"Marion County, Kansas",60011,5699,20,115
"Marshall County, Kansas",64306,4766,20,117
"Meade County, Kansas",74063,1912,20,119
"Miami County, Kansas",85564,13939,20,121
"Mitchell County, Kansas",63008,3128,20,123
"Montgomery County, Kansas",51513,15625,20,125
"Morris County, Kansas",52866,3003,20,127
"Morton County, Kansas",57943,1321,20,129
"Nemaha County, Kansas",72788,4507,20,131
"Neosho County, Kansas",54894,7239,20,133
"Ness County, Kansas",64907,1500,20,135
"Norton County, Kansas",52710,2463,20,137
"Osage County, Kansas",66155,7273,20,139
"Osborne County, Kansas",58750,2050,20,141
"Ottawa County, Kansas",74551,2680,20,143
"Pawnee County, Kansas",54141,3065,20,145
"Phillips County, Kansas",57611,2816,20,147
"Pottawatomie County, Kansas",85241,9938,20,149
"Pratt County, Kansas",61685,4390,20,151
"Rawlins County, Kansas",61827,1372,20,153
"Reno County, Kansas",57390,28309,20,155
"Republic County, Kansas",54531,2682,20,157
"Rice County, Kansas",58523,4395,20,159
"Riley County, Kansas",56327,30595,20,161
"Rooks County, Kansas",60821,2637,20,163
"Rush County, Kansas",53523,1683,20,165
"Russell County, Kansas",49929,3693,20,167
"Saline County, Kansas",59887,24116,20,169
"Scott County, Kansas",53365,2262,20,171
"Sedgwick County, Kansas",65372,224058,20,173
"Seward County, Kansas",57131,8268,20,175
"Shawnee County, Kansas",63463,80673,20,177
"Sheridan County, Kansas",66719,1160,20,179
"Sherman County, Kansas",61404,2951,20,181
"Smith County, Kansas",50943,2041,20,183
"Stafford County, Kansas",60000,2113,20,185
"Stanton County, Kansas",66000,1081,20,187
"Stevens County, Kansas",67950,2247,20,189
"Sumner County, Kansas",59397,10390,20,191
"Thomas County, Kansas",72417,3576,20,193
"Trego County, Kansas",77500,1657,20,195
"Wabaunsee County, Kansas",70000,3128,20,197
"Wallace County, Kansas",57708,742,20,199
"Washington County, Kansas",59432,2736,20,201
"Wichita County, Kansas",69551,1002,20,203
"Wilson County, Kansas",55439,4498,20,205
"Woodson County, Kansas",50670,1843,20,207
"Wyandotte County, Kansas",57771,68482,20,209
"Adair County, Kentucky",49690,8629,21,001
"Allen County, Kentucky",57159,9237,21,003
"Anderson County, Kentucky",69885,10055,21,005
"Ballard County, Kentucky",57111,3710,21,007
"Barren County, Kentucky",48141,19929,21,009
"Bath County, Kentucky",51471,5463,21,011
"Bell County, Kentucky",33658,11634,21,013
"Boone County, Kentucky",91697,51773,21,015
"Bourbon County, Kentucky",54580,9134,21,017
"Boyd County, Kentucky",58327,21745,21,019
"Boyle County, Kentucky",56568,12933,21,021
"Bracken County, Kentucky",59911,3844,21,023
"Breathitt County, Kentucky",38209,6563,21,025
"Breckinridge County, Kentucky",51756,10725,21,027
"Bullitt County, Kentucky",73900,32854,21,029
"Butler County, Kentucky",47589,5465,21,031
"Caldwell County, Kentucky",52488,6092,21,033
"Calloway County, Kentucky",48276,17983,21,035
"Campbell County, Kentucky",71979,41465,21,037
"Carlisle County, Kentucky",53065,2305,21,039
"Carroll County, Kentucky",50625,4675,21,041
"Carter County, Kentucky",47004,12249,21,043
"Casey County, Kentucky",42190,7388,21,045
"Christian County, Kentucky",48920,29273,21,047
"Clark County, Kentucky",61878,16165,21,049
"Clay County, Kentucky",37888,8630,21,051
"Clinton County, Kentucky",41180,4872,21,053
"Crittenden County, Kentucky",45810,4344,21,055
"Cumberland County, Kentucky",40515,3408,21,057
"Daviess County, Kentucky",64021,43927,21,059
"Edmonson County, Kentucky",53029,6389,21,061
"Elliott County, Kentucky",39469,3056,21,063
"Estill County, Kentucky",39980,6839,21,065
"Fayette County, Kentucky",66087,146345,21,067
"Fleming County, Kentucky",46885,6753,21,069
"Floyd County, Kentucky",38723,17446,21,071
"Franklin County, Kentucky",62929,23983,21,073
"Fulton County, Kentucky",35449,3195,21,075
"Gallatin County, Kentucky",58641,3726,21,077
"Garrard County, Kentucky",58263,7284,21,079
"Grant County, Kentucky",65461,10099,21,081
"Graves County, Kentucky",52526,16526,21,083
"Grayson County, Kentucky",47024,13346,21,085
"Green County, Kentucky",38595,5278,21,087
"Greenup County, Kentucky",58562,16248,21,089
"Hancock County, Kentucky",68102,3902,21,091
"Hardin County, Kentucky",64136,46920,21,093
"Harlan County, Kentucky",35128,13016,21,095
"Harrison County, Kentucky",58840,8101,21,097
"Hart County, Kentucky",45561,8841,21,099
"Henderson County, Kentucky",56912,20098,21,101
"Henry County, Kentucky",58294,6634,21,103
"Hickman County, Kentucky",68589,2163,21,105
"Hopkins County, Kentucky",54466,20949,21,107
"Jackson County, Kentucky",38516,6007,21,109
"Jefferson County, Kentucky",66296,356155,21,111
"Jessamine County, Kentucky",69905,20733,21,113
"Johnson County, Kentucky",44231,10526,21,115
"Kenton County, Kentucky",76016,72564,21,117
"Knott County, Kentucky",38336,6718,21,119
"Knox County, Kentucky",34254,13817,21,121
"Larue County, Kentucky",57867,6485,21,123
"Laurel County, Kentucky",53693,26569,21,125
"Lawrence County, Kentucky",42488,7534,21,127
"Lee County, Kentucky",31682,3226,21,129
"Leslie County, Kentucky",37019,4909,21,131
"Letcher County, Kentucky",38466,10614,21,133
"Lewis County, Kentucky",36662,6058,21,135
"Lincoln County, Kentucky",49487,10832,21,137
"Livingston County, Kentucky",56125,4624,21,139
"Logan County, Kentucky",58869,12462,21,141
"Lyon County, Kentucky",64081,4788,21,143
"McCracken County, Kentucky",58490,32093,21,145
"McCreary County, Kentucky",35000,6933,21,147
"McLean County, Kentucky",64020,4180,21,149
"Madison County, Kentucky",59797,39382,21,151
"Magoffin County, Kentucky",31927,5462,21,153
"Marion County, Kentucky",49627,8381,21,155
"Marshall County, Kentucky",64597,16391,21,157
"Martin County, Kentucky",45265,4831,21,159
"Mason County, Kentucky",48460,8181,21,161
"Meade County, Kentucky",68518,12043,21,163
"Menifee County, Kentucky",43797,3437,21,165
"Mercer County, Kentucky",60728,10355,21,167
"Metcalfe County, Kentucky",46932,4704,21,169
"Monroe County, Kentucky",47252,5239,21,171
"Montgomery County, Kentucky",53436,12122,21,173
"Morgan County, Kentucky",46018,5633,21,175
"Muhlenberg County, Kentucky",50935,13518,21,177
"Nelson County, Kentucky",66212,19799,21,179
"Nicholas County, Kentucky",57539,3318,21,181
"Ohio County, Kentucky",52474,10196,21,183
"Oldham County, Kentucky",117334,23195,21,185
"Owen County, Kentucky",56485,5370,21,187
"Owsley County, Kentucky",32844,1948,21,189
"Pendleton County, Kentucky",58723,6278,21,191
"Perry County, Kentucky",45330,13226,21,193
"Pike County, Kentucky",41271,28918,21,195
"Powell County, Kentucky",38415,5599,21,197
"Pulaski County, Kentucky",48768,31615,21,199
"Robertson County, Kentucky",53798,1044,21,201
"Rockcastle County, Kentucky",45693,7353,21,203
"Rowan County, Kentucky",50038,10539,21,205
"Russell County, Kentucky",48220,10102,21,207
"Scott County, Kentucky",80782,22930,21,209
"Shelby County, Kentucky",81012,18944,21,211
"Simpson County, Kentucky",55907,8302,21,213
"Spencer County, Kentucky",101118,7480,21,215
"Taylor County, Kentucky",63211,11201,21,217
"Todd County, Kentucky",57891,5143,21,219
"Trigg County, Kentucky",55864,7596,21,221
"Trimble County, Kentucky",66492,3864,21,223
"Union County, Kentucky",58260,5884,21,225
"Warren County, Kentucky",63074,57080,21,227
"Washington County, Kentucky",65456,5206,21,229
"Wayne County, Kentucky",41583,10169,21,231
"Webster County, Kentucky",55451,5731,21,233
"Whitley County, Kentucky",44332,15492,21,235
"Wolfe County, Kentucky",28666,3067,21,237
"Woodford County, Kentucky",78295,11501,21,239
"Acadia Parish, Louisiana",44977,25030,22,001
"Allen Parish, Louisiana",52755,9532,22,003
"Ascension Parish, Louisiana",93800,49998,22,005
"Assumption Parish, Louisiana",47023,10032,22,007
"Avoyelles Parish, Louisiana",38696,18261,22,009
"Beauregard Parish, Louisiana",68525,15802,22,011
"Bienville Parish, Louisiana",34268,6907,22,013
"Bossier Parish, Louisiana",64598,55638,22,015
"Caddo Parish, Louisiana",47572,112469,22,017
"Calcasieu Parish, Louisiana",64370,93431,22,019
"Caldwell Parish, Louisiana",45707,4634,22,021
"Cameron Parish, Louisiana",69847,3556,22,023
"Catahoula Parish, Louisiana",48259,4461,22,025
"Claiborne Parish, Louisiana",32034,6858,22,027
"Concordia Parish, Louisiana",38929,9003,22,029
"De Soto Parish, Louisiana",49807,12463,22,031
"East Baton Rouge Parish, Louisiana",62083,204246,22,033
"East Carroll Parish, Louisiana",30856,3319,22,035
"East Feliciana Parish, Louisiana",64709,8124,22,037
"Evangeline Parish, Louisiana",34526,14494,22,039
"Franklin Parish, Louisiana",41129,8936,22,041
"Grant Parish, Louisiana",57362,9023,22,043
"Iberia Parish, Louisiana",55190,31102,22,045
"Iberville Parish, Louisiana",59410,13302,22,047
"Jackson Parish, Louisiana",40406,7237,22,049
"Jefferson Parish, Louisiana",63257,193740,22,051
"Jefferson Davis Parish, Louisiana",52470,14007,22,053
"Lafayette Parish, Louisiana",66617,108681,22,055
"Lafourche Parish, Louisiana",61381,41108,22,057
"LaSalle Parish, Louisiana",59926,6195,22,059
"Lincoln Parish, Louisiana",37001,20491,22,061
"Livingston Parish, Louisiana",77978,57984,22,063
"Madison Parish, Louisiana",34508,4391,22,065
"Morehouse Parish, Louisiana",37875,11913,22,067
"Natchitoches Parish, Louisiana",41310,18605,22,069
"Orleans Parish, Louisiana",51116,193999,22,071
"Ouachita Parish, Louisiana",49261,70178,22,073
"Plaquemines Parish, Louisiana",77996,9560,22,075
"Pointe Coupee Parish, Louisiana",53045,11020,22,077
"Rapides Parish, Louisiana",55407,58076,22,079
"Red River Parish, Louisiana",43821,3603,22,081
"Richland Parish, Louisiana",48125,8668,22,083
"Sabine Parish, Louisiana",40777,13558,22,085
"St. Bernard Parish, Louisiana",55857,17778,22,087
"St. Charles Parish, Louisiana",79191,20531,22,089
"St. Helena Parish, Louisiana",46402,5284,22,091
"St. James Parish, Louisiana",62946,8604,22,093
"St. John the Baptist Parish, Louisiana",65114,17799,22,095
"St. Landry Parish, Louisiana",44478,36840,22,097
"St. Martin Parish, Louisiana",50806,23563,22,099
"St. Mary Parish, Louisiana",47322,22516,22,101
"St. Tammany Parish, Louisiana",76914,110680,22,103
"Tangipahoa Parish, Louisiana",55274,57354,22,105
"Tensas Parish, Louisiana",35653,2815,22,107
"Terrebonne Parish, Louisiana",63088,47314,22,109
"Union Parish, Louisiana",47068,10458,22,111
"Vermilion Parish, Louisiana",56194,25735,22,113
"Vernon Parish, Louisiana",56547,21996,22,115
"Washington Parish, Louisiana",41803,21420,22,117
"Webster Parish, Louisiana",34263,18325,22,119
"West Baton Rouge Parish, Louisiana",80510,11536,22,121
"West Carroll Parish, Louisiana",45035,4702,22,123
"West Feliciana Parish, Louisiana",71985,5086,22,125
"Winn Parish, Louisiana",44922,6400,22,127
"Androscoggin County, Maine",64500,49923,23,001
"Aroostook County, Maine",50843,38440,23,003
"Cumberland County, Maine",87710,149869,23,005
"Franklin County, Maine",56890,21014,23,007
"Hancock County, Maine",64149,40298,23,009
"Kennebec County, Maine",62118,62778,23,011
"Knox County, Maine",68904,24331,23,013
"Lincoln County, Maine",69638,23698,23,015
"Oxford County, Maine",54780,36355,23,017
"Penobscot County, Maine",59438,75119,23,019
"Piscataquis County, Maine",51805,14655,23,021
"Sagadahoc County, Maine",77591,18999,23,023
"Somerset County, Maine",53527,29929,23,025
"Waldo County, Maine",62694,22012,23,027
"Washington County, Maine",51669,21723,23,029
"York County, Maine",79743,112660,23,031
"Allegany County, Maryland",55248,32882,24,001
"Anne Arundel County, Maryland",116009,233163,24,003
"Baltimore County, Maryland",88157,349471,24,005
"Calvert County, Maryland",128078,35749,24,009
"Caroline County, Maryland",65326,13473,24,011
"Carroll County, Maryland",111672,65804,24,013
"Cecil County, Maryland",86869,43957,24,015
"Charles County, Maryland",116882,62362,24,017
"Dorchester County, Maryland",57490,16400,24,019
"Frederick County, Maryland",115724,104217,24,021
"Garrett County, Maryland",64447,18501,24,023
"Harford County, Maryland",106417,103552,24,025
"Howard County, Maryland",140971,123428,24,027
"Kent County, Maryland",71635,10320,24,029
"Montgomery County, Maryland",125583,403643,24,031
"Prince George's County, Maryland",97935,359176,24,033
"Queen Anne's County, Maryland",108332,21405,24,035
"St. Mary's County, Maryland",113668,45665,24,037
"Somerset County, Maryland",52149,10938,24,039
"Talbot County, Maryland",81667,19606,24,041
"Washington County, Maryland",73017,63701,24,043
"Wicomico County, Maryland",69421,43708,24,045
"Worcester County, Maryland",76689,56399,24,047
"Baltimore city, Maryland",58349,293555,24,510
"Barnstable County, Massachusetts",90447,165068,25,001
"Berkshire County, Massachusetts",69744,69762,25,003
"Bristol County, Massachusetts",80628,243297,25,005
"Dukes County, Massachusetts",93225,17621,25,007
"Essex County, Massachusetts",94378,326936,25,009
"Franklin County, Massachusetts",70383,34395,25,011
"Hampden County, Massachusetts",66619,196957,25,013
"Hampshire County, Massachusetts",84025,66174,25,015
"Middlesex County, Massachusetts",121304,658555,25,017
"Nantucket County, Massachusetts",135590,12287,25,019
"Norfolk County, Massachusetts",120621,291316,25,021
"Plymouth County, Massachusetts",105387,215021,25,023
"Suffolk County, Massachusetts",87669,350419,25,025
"Worcester County, Massachusetts",88524,351506,25,027
"Alcona County, Michigan",50295,10320,26,001
"Alger County, Michigan",55528,6208,26,003
"Allegan County, Michigan",75543,51880,26,005
"Alpena County, Michigan",49133,15685,26,007
"Antrim County, Michigan",68850,17596,26,009
"Arenac County, Michigan",53487,9554,26,011
"Baraga County, Michigan",51911,5079,26,013
"Barry County, Michigan",75182,27466,26,015
"Bay County, Michigan",57887,48598,26,017
