geoid,coal_plant_count,coal_capacity_mw,has_operating_coal,has_retired_coal,has_coal_plant
31141,1,71.4,True,False,True
31157,1,5.0,True,False,True
32003,2,2273.0,False,True,True
32011,1,242.0,True,False,True
32013,1,567.0,True,False,True
33013,1,459.20000000000005,True,False,True
33015,1,100.0,True,False,True
34015,1,242.3,False,True,True
34021,1,652.8,False,True,True
34033,1,285.0,False,True,True
35031,1,257.0,False,True,True
35045,2,4117.6,True,True,True
36013,1,627.2,False,True,True
36055,2,303.5,False,True,True
36123,1,50.0,False,True,True
37021,2,429.9,False,True,True
37035,1,1059.5,True,False,True
37037,1,328.5,False,True,True
37045,1,210.0,False,True,True
37071,2,1614.4,True,True,True
37117,1,15.0,False,True,True
37129,1,671.6,False,True,True
37145,2,3321.4,True,False,True
37155,1,165.5,False,True,True
37157,1,290.0,False,True,True
37159,1,370.0,False,True,True
37191,1,402.4,False,True,True
38055,1,1209.6,True,False,True
38057,4,2250.2,True,True,True
38059,1,115.0,False,True,True
38065,1,734.0,True,False,True
38067,2,8.0,True,True,True
38093,1,106.2,True,False,True
38097,1,13.3,True,False,True
39011,1,16.0,False,True,True
39025,2,2646.8999999999996,False,True,True
39035,1,160.0,False,True,True
39053,2,3686.5,True,False,True
39061,1,1378.0,True,True,True
39081,2,4336.0,True,True,True
39085,1,53.5,True,False,True
39093,1,766.0,False,True,True
39095,1,498.79999999999995,False,True,True
39109,1,44.8,False,True,True
39113,1,414.0,False,True,True
39139,1,37.0,False,True,True
39155,1,265.6,False,True,True
39157,1,31.5,True,True,True
39167,1,200.0,False,True,True
39169,2,61.0,True,True,True
40023,1,446.0,True,False,True
40079,1,350.0,True,False,True
40097,1,1134.0,True,True,True
40101,1,572.0,True,False,True
40103,1,1138.0,True,False,True
40131,1,946.0,True,True,True
41049,1,642.2,False,True,True
42003,2,1047.0,False,True,True
42005,1,1872.0,True,False,True
42011,1,225.0,False,True,True
42013,1,4.0,False,True,True
42021,2,175.6,True,False,True
42025,1,94.0,True,False,True
42027,1,6.0,False,True,True
42029,1,187.5,False,True,True
42045,1,707.2,False,True,True
42063,3,4766.2,True,True,True
42073,1,70.0,False,True,True
42093,1,1775.1,True,True,True
42095,3,701.5,True,True,True
42097,1,47.3,True,False,True
42107,4,271.6,True,True,True
42109,1,437.9,False,True,True
42121,1,94.7,True,False,True
42123,1,84.0,False,True,True
42125,1,510.0,False,True,True
42133,1,45.9,True,False,True
45007,1,180.0,False,True,True
45015,3,3395.4,True,True,True
45029,1,489.6,False,True,True
45031,1,206.6,False,True,True
45043,1,1260.0,True,False,True
45051,1,163.2,False,True,True
45079,1,771.8,True,False,True
46051,1,450.0,True,False,True
46103,1,25.0,False,True,True
47001,1,950.0,True,False,True
47037,1,11.0,False,True,True
47073,1,800.0,False,True,True
47085,1,1485.2,False,True,True
47143,1,240.0,False,True,True
47145,1,1700.0,True,False,True
47157,1,990.0,False,True,True
47161,1,2600.0,True,False,True
47163,2,114.5,True,True,True
47165,1,1255.2,True,False,True
48013,1,410.0,True,False,True
48029,2,2420.5,True,False,True
48149,1,1690.0,True,False,True
48157,1,2736.8,True,False,True
48161,1,1186.8,False,True,True
48175,1,622.4,True,False,True
48203,1,721.0,True,False,True
48279,1,1135.8,True,False,True
48293,1,1849.8,True,False,True
48309,1,1008.0,True,False,True
48331,2,1615.1,False,True,True
48375,1,1080.0,True,False,True
48395,2,2144.6,True,False,True
48401,1,2379.6000000000004,True,False,True
48449,2,3654.0,True,True,True
49007,2,246.7,True,True,True
49015,2,2614.5,True,False,True
49027,1,1640.0,True,False,True
49035,1,182.0,False,True,True
49047,1,499.5,True,False,True
51005,1,65.5,True,True,True
51041,2,1359.0,True,True,True
51071,1,337.5,False,True,True
51083,1,848.0,True,False,True
51117,1,139.8,False,True,True
51159,1,114.8,False,True,True
51167,1,237.5,False,True,True
51195,1,668.0,True,False,True
51199,1,375.0,False,True,True
51550,1,649.5,False,True,True
53041,1,1459.8,True,True,True
53075,1,2.0,False,True,True
54023,2,1742.4,True,True,True
54033,1,2052.0,True,False,True
54039,1,439.2,False,True,True
54049,2,205.4,True,True,True
54051,1,1632.6,True,False,True
54053,2,2405.5,True,True,True
54061,3,2028.4,True,False,True
54073,2,1581.2,True,True,True
54077,1,278.2,False,True,True
54079,1,2932.6,True,False,True
55009,2,483.4,False,True,True
55011,2,568.0,True,True,True
55021,1,1112.0,True,False,True
55025,1,87.5,False,True,True
55043,1,227.2,False,True,True
55059,1,1233.2,False,True,True
55071,1,15.0,False,True,True
55073,1,1005.5,True,True,True
55075,1,11.8,False,True,True
55079,3,2653.6,True,True,True
55085,1,9.3,True,False,True
55087,1,12.0,True,False,True
55089,1,320.0,False,True,True
55097,1,4.1,False,True,True
55117,1,833.7,True,True,True
55123,1,345.6,False,True,True
55141,1,38.5,True,False,True
56005,7,1298.7,True,True,True
56009,1,922.2,True,False,True
56023,1,448.0,True,False,True
56031,1,1863.0,True,False,True
56037,3,2512.8999999999996,True,False,True
56045,1,34.5,False,True,True
