,geo_id,county_name,military_count,total_military_area_m,pct_military
0,01003,Baldwin County,4,8653932.649495551,0.0016481760087079624
1,01005,Barbour County,1,420502.2410096047,0.00017949596350626902
2,01015,Calhoun County,3,154983375.73438394,0.09773306111208924
3,01031,Coffee County,6,64104674.040425435,0.03637199978058143
4,01035,Conecuh County,1,1547288.0190365326,0.0007005614581540326
5,01045,Dale County,4,181296834.36006466,0.124403624149041
6,01053,Escambia County,1,2609604.0666154204,0.0010571103888760676
7,01061,Geneva County,2,962911.6338165299,0.0006421654751595431
8,01069,Houston County,2,949627.9758010446,0.0006303380006077821
9,01073,Jefferson County,2,660524.5007189304,0.00022686475947874507
10,01089,Madison County,1,154509275.16212618,0.07340377752680459
11,01101,Montgomery County,5,11497584.495412696,0.0055496630493439385
12,01113,Russell County,1,49714923.86774594,0.02965900124767818
13,02016,Aleutians West Census Area,1,14139981.153901016,0.0003867447803225949
14,02020,Anchorage Municipality,1,295557556.3917195,0.05868621716269336
15,02050,Bethel Census Area,1,9199558.501454862,7.796993958361336e-05
16,02060,Bristol Bay Borough,1,1482673.5122503613,0.0006742721395266762
17,02066,Copper River Census Area,1,21970837.82826951,0.00033773375529826187
18,02068,Denali Borough,2,46503490.59518536,0.001417522013900801
19,02090,Fairbanks North Star Borough,4,2832367347.6740603,0.14708696573180924
20,02122,Kenai Peninsula Borough,1,46922.700241689985,7.328502750183586e-07
21,02130,Ketchikan Gateway Borough,1,47103.64914102989,2.723557934444026e-06
22,02150,Kodiak Island Borough,1,519128.0911997437,1.649405660805493e-05
23,02170,Matanuska-Susitna Borough,1,1295211.7115532667,1.9791457725465665e-05
24,02180,Nome Census Area,1,2809877.216758184,3.8348947133098166e-05
25,02185,North Slope Borough,3,6638856.107302116,2.7030852773651187e-05
26,02240,Southeast Fairbanks Census Area,1,27647273.383224122,0.0004249200918464754
27,02290,Yukon-Koyukuk Census Area,2,2766477.5766284587,7.223124850755428e-06
28,04003,Cochise County,1,327669404.7605151,0.020350719242821617
29,04005,Coconino County,2,115810758.12183826,0.0023961123405176186
30,04012,La Paz County,1,1586038377.5749435,0.1357607204398578
31,04013,Maricopa County,8,2945914423.206211,0.12328487902508477
32,04019,Pima County,4,269959951.3395959,0.011341083909563824
33,04021,Pinal County,3,27759603.91624676,0.001994167931586065
34,04027,Yuma County,4,5739899083.4649105,0.40156083998234005
35,05033,Crawford County,1,2903625.353315415,0.001851026687091474
36,05045,Faulkner County,1,36535668.204764955,0.02124204166143908
37,05047,Franklin County,1,39181563.84962407,0.024395894840295817
38,05069,Jefferson County,1,52314147.08271768,0.022050810150424795
39,05083,Logan County,1,465.21780023583494,2.4607284595351894e-07
40,05119,Pulaski County,2,122671521.84740868,0.058662254960795954
41,05131,Sebastian County,2,226112458.7455917,0.16033287088217782
42,06001,Alameda County,1,5533521.829202232,0.0026016592369621917
43,06003,Alpine County,1,193407.16416799364,0.00010047908325671103
44,06013,Contra Costa County,3,21639345.846443083,0.010393084083992055
45,06019,Fresno County,2,12370031.566763673,0.0007945146438355213
46,06025,Imperial County,4,1505974904.1026547,0.12977502924070794
47,06027,Inyo County,2,1863097049.6770337,0.0703372247031602
48,06029,Kern County,2,1164460989.4358416,0.055064966463270776
49,06031,Kings County,2,64141019.85817577,0.017788456595221394
50,06035,Lassen County,1,105184127.50473665,0.008603988738519936
51,06037,Los Angeles County,8,362637653.42890036,0.029480358651780503
52,06051,Mono County,1,250267985.01704505,0.03085415900220942
53,06053,Monterey County,5,723787913.6232245,0.07410228427174816
54,06059,Orange County,3,25431570.091499005,0.010338931856157129
55,06065,Riverside County,3,471230686.5884449,0.02491460446389201
56,06071,San Bernardino County,7,8805855333.013317,0.16910475212616058
57,06073,San Diego County,23,709868330.8866252,0.060558558780150054
58,06079,San Luis Obispo County,3,123981798.90823448,0.013239140856266957
59,06081,San Mateo County,1,256578.47803571576,0.00013369837858822416
60,06083,Santa Barbara County,2,400887918.7001876,0.040864921885383376
61,06085,Santa Clara County,1,200022.66030051588,5.922230229884326e-05
62,06095,Solano County,3,31157418.96706915,0.013275975402461317
63,06109,Tuolumne County,1,8887.605481501378,1.5087257603624576e-06
64,06111,Ventura County,4,95849556.63084199,0.01677168921572561
65,06115,Yuba County,1,93727176.06312703,0.056192293852733284
66,08005,Arapahoe County,1,13363079.678866642,0.0064051301130822295
67,08041,El Paso County,7,449145763.5870955,0.08144876304372772
68,08043,Fremont County,1,24967667.561295845,0.006281411823728639
69,08071,Las Animas County,1,952528005.5389118,0.0770106430310572
70,08089,Otero County,1,536810.026511344,0.00016323771412079635
71,08101,Pueblo County,2,285476059.0559443,0.04596901342246305
72,09110,Capitol Planning Region,2,832972.4330707041,0.0003074142838152097
73,09130,Lower Connecticut River Valley Planning Region,1,2732894.71330144,0.0020401685220795326
74,09180,Southeastern Connecticut Planning Region,3,7620086.190331282,0.004315799019132853
75,10001,Kent County,1,12815228.836568903,0.006197913470426698
76,10003,New Castle County,2,1084686.256739855,0.0008477265503340089
77,10005,Sussex County,1,404095.0748931435,0.00013040711757303518
78,11001,District of Columbia,6,5566811.617634342,0.03144630201094552
79,12005,Bay County,2,119887577.5315937,0.03155939642523417
80,12009,Brevard County,2,72793118.71949486,0.018050671991602697
81,12011,Broward County,2,1319639.2727477883,0.0003894101754583592
82,12019,Clay County,1,815102.6702261581,0.0004890310532801847
83,12031,Duval County,7,41493271.07574353,0.017442871053123726
84,12033,Escambia County,4,32011144.860666282,0.010979352500108227
85,12055,Highlands County,2,220258236.3099545,0.07684156127450141
86,12057,Hillsborough County,1,23058376.902540095,0.0067048836808532705
87,12086,Miami-Dade County,2,3973351.8660532404,0.0006420733345488245
88,12087,Monroe County,5,19074324.034565162,0.0013922952697722635
89,12091,Okaloosa County,6,988461996.844669,0.3061286897787067
90,12093,Okeechobee County,1,119228.45311603557,5.160584471798083e-05
91,12095,Orange County,2,171680.37967140315,6.605921981599346e-05
92,12105,Polk County,2,217411829.55312872,0.04175420802539694
93,12113,Santa Rosa County,7,290033731.9238068,0.09162621416609845
94,12131,Walton County,1,620887313.920853,0.17008489244870664
95,13021,Bibb County,2,147409.9140441684,0.0002232795745535709
96,13029,Bryan County,1,441495887.17745155,0.3750913732162187
97,13039,Camden County,1,53492039.45435225,0.026414101689486706
98,13047,Catoosa County,1,6594841.377536082,0.015673265480307425
99,13051,Chatham County,3,22762940.867463075,0.013951083836267902
100,13053,Chattahoochee County,1,490833561.90242225,0.7545447705327596
101,13063,Clayton County,2,5213796.817655876,0.013943492098512379
