geo_id,county_name,total_energy_consumption_mwh,,,
47055,Giles County,"448,575",,,
39095,Lucas County,"5,671,259",,,
5093,Mississippi County,"691,815",,,
72117,Rincón Municipio,"82,153",,,
28043,Grenada County,"365,860",,,
21213,Simpson County,"320,398",,,
50013,Grand Isle County,"61,489",,,
39029,Columbiana County,"1,336,068",,,
51125,Nelson County,"237,321",,,
12097,Osceola County,"4,905,601",,,
5053,Grant County,"301,790",,,
18033,DeKalb County,"638,004",,,
22073,Ouachita Parish,"3,464,278",,,
22095,St. John the Baptist Parish,"938,089",,,
22091,St. Helena Parish,"239,026",,,
29197,Schuyler County,"52,525",,,
1059,Franklin County,"558,933",,,
21041,Carroll County,"179,200",,,
8019,Clear Creek County,"92,244",,,
48267,Kimble County,"72,155",,,
46027,Clay County,"222,417",,,
10005,Sussex County,"2,895,897",,,
13159,Jasper County,"198,464",,,
29175,Randolph County,"319,204",,,
20015,Butler County,"971,130",,,
48209,Hays County,"4,522,932",,,
53015,Cowlitz County,"1,304,977",,,
48297,Live Oak County,"191,148",,,
31091,Hooker County,"13,097",,,
51147,Prince Edward County,"351,081",,,
49007,Carbon County,"208,398",,,
42017,Bucks County,"7,126,215",,,
46059,Hand County,"45,951",,,
42081,Lycoming County,"1,249,513",,,
16057,Latah County,"543,144",,,
13237,Putnam County,"299,794",,,
51640,Galax city,"107,167",,,
35037,Quay County,"127,665",,,
48269,King County,"3,847",,,
5073,Lafayette County,"107,375",,,
48451,Tom Green County,"1,997,364",,,
21031,Butler County,"205,811",,,
78020,St. John Island,,,,
56005,Campbell County,"1,390,672",,,
13211,Morgan County,"269,965",,,
5037,Cross County,"285,329",,,
5107,Phillips County,"285,127",,,
22093,St. James Parish,"447,912",,,
78030,St. Thomas Island,,,,
19061,Dubuque County,"1,730,626",,,
51075,Goochland County,"389,787",,,
20181,Sherman County,"84,889",,,
39139,Richland County,"1,665,834",,,
17001,Adams County,"701,382",,,
39021,Champaign County,"514,137",,,
33019,Sullivan County,"341,868",,,
17075,Iroquois County,"291,314",,,
19157,Poweshiek County,"326,703",,,
39169,Wayne County,"1,549,390",,,
13113,Fayette County,"1,672,786",,,
13141,Hancock County,"118,602",,,
48259,Kendall County,"736,538",,,
36039,Greene County,"349,130",,,
51137,Orange County,"577,478",,,
40089,McCurtain County,"576,857",,,
13277,Tift County,"564,056",,,
31025,Cass County,"486,919",,,
46077,Kingsbury County,"77,026",,,
56009,Converse County,"407,524",,,
36043,Herkimer County,"440,509",,,
38047,Logan County,"70,282",,,
26053,Gogebic County,"146,219",,,
27005,Becker County,"401,522",,,
1095,Marshall County,"1,734,746",,,
28157,Wilkinson County,"147,319",,,
2282,Yakutat City and Borough,"4,627",,,
20179,Sheridan County,"34,994",,,
28079,Leake County,"363,001",,,
72025,Caguas Municipio,"680,950",,,
72027,Camuy Municipio,"178,950",,,
28025,Clay County,"317,583",,,
28037,Franklin County,"130,380",,,
72143,Vega Alta Municipio,"194,420",,,
19015,Boone County,"468,641",,,
48373,Polk County,"829,441",,,
31051,Dixon County,"103,305",,,
24025,Harford County,"2,550,638",,,
45037,Edgefield County,"417,940",,,
51001,Accomack County,"535,564",,,
47173,Union County,"291,113",,,
54057,Mineral County,"508,355",,,
55003,Ashland County,"188,534",,,
17053,Ford County,"144,678",,,
38029,Emmons County,"128,475",,,
6089,Shasta County,"1,137,438",,,
22113,Vermilion Parish,"1,269,158",,,
5121,Randolph County,"310,720",,,
55085,Oneida County,"441,445",,,
22035,East Carroll Parish,"164,798",,,
22037,East Feliciana Parish,"430,294",,,
22087,St. Bernard Parish,"962,627",,,
48481,Wharton County,"698,906",,,
2198,Prince of Wales-Hyder Census Area,"48,464",,,
2195,Petersburg Borough,"27,731",,,
48153,Floyd County,"92,029",,,
2275,Wrangell City and Borough,"17,802",,,
21151,Madison County,"1,578,229",,,
51025,Brunswick County,"257,355",,,
47045,Dyer County,"549,262",,,
47053,Gibson County,"746,878",,,
51149,Prince George County,"676,432",,,
5075,Lawrence County,"274,495",,,
38027,Eddy County,"92,133",,,
53053,Pierce County,"10,809,689",,,
23023,Sagadahoc County,"295,777",,,
30097,Sweet Grass County,"50,922",,,
48181,Grayson County,"2,404,575",,,
42059,Greene County,"400,449",,,
2188,Northwest Arctic Borough,"64,026",,,
20051,Ellis County,"411,179",,,
1065,Hale County,"258,564",,,
1105,Perry County,"151,834",,,
1033,Colbert County,"990,862",,,
20151,Pratt County,"131,865",,,
21017,Bourbon County,"336,265",,,
47149,Rutherford County,"5,356,981",,,
13075,Cook County,"235,613",,,
20101,Lane County,"21,404",,,
40059,Harper County,"62,262",,,
17147,Piatt County,"177,416",,,
48107,Crosby County,"88,451",,,
8009,Baca County,"34,434",,,
16021,Boundary County,"164,688",,,
16007,Bear Lake County,"87,079",,,
39159,Union County,"889,258",,,
39035,Cuyahoga County,"16,430,386",,,
48285,Lavaca County,"340,818",,,
40105,Nowata County,"175,846",,,
13125,Glascock County,"39,794",,,
41059,Umatilla County,"1,127,119",,,
