geo_id,county_name,named_wetlands,wetland_count
01001,Autauga County,['Jacobs Swamp'],1
01003,Baldwin County,[],213
01007,Bibb County,[],60
01009,Blount County,[],1
01011,Bullock County,[],2
01015,Calhoun County,[],6
01017,Chambers County,[],44
01019,Cherokee County,[],170
01023,Choctaw County,[],17
01025,Clarke County,[],3
01027,Clay County,[],2
01029,Cleburne County,[],19
01031,Coffee County,[],14
01033,Colbert County,[],3
01035,Conecuh County,[],4
01039,Covington County,[],35
01041,Crenshaw County,[],1
01045,Dale County,[],43
01047,Dallas County,['Beech Creek Swamp'],4
01049,DeKalb County,[],2
01053,Escambia County,[],4
01055,Etowah County,[],31
01057,Fayette County,[],6
01061,Geneva County,[],81
01063,Greene County,"['Charleston Swamp', 'Boligee Creek Swamp', 'Dollarhide Swamp']",824
01065,Hale County,['Mason Swamp'],467
01067,Henry County,[],1
01069,Houston County,"['Coopers Bay', 'Moates Bay', 'Still Pond', 'The Turnpike Swamp']",470
01071,Jackson County,[],5
01073,Jefferson County,[],10
01075,Lamar County,[],9
01077,Lauderdale County,[],8
01081,Lee County,['Lake Jacobs'],24
01083,Limestone County,[],13
01085,Lowndes County,['Duck Pond'],1
01087,Macon County,[],7
01089,Madison County,"['Cooper Marsh', 'Poison Ivy Swamp']",52
01091,Marengo County,[],12
01093,Marion County,[],1
01097,Mobile County,"['Optimist Lake', 'Pinto Pass', 'Twelvemile Island']",168
01101,Montgomery County,[],4
01105,Perry County,[],170
01107,Pickens County,[],32
01111,Randolph County,[],9
01115,St. Clair County,[],4
01117,Shelby County,[],6
01119,Sumter County,['Cypress Swamp'],708
01121,Talladega County,[],1
01125,Tuscaloosa County,"['Reed Swamp', 'Englewood Swamp']",202
01127,Walker County,[],6
01129,Washington County,[],8
01131,Wilcox County,[],3
04001,Apache County,"['CC Lake', 'The Cienega']",31
04005,Coconino County,['Dry Lake'],10
04007,Gila County,[],3
04012,La Paz County,[],2
04013,Maricopa County,"['South Overbank Wetlands', 'North Overbank Wetlands', 'Tres Rios Wetlands Hayfield Environmental Restoration Area', 'Rio Salado Habitat Restoration Area']",161
04017,Navajo County,"['Redhead Marsh', 'Bosque Mojado']",14
04021,Pinal County,[],3
04025,Yavapai County,[],9
04027,Yuma County,[],13
05001,Arkansas County,[],44
05003,Ashley County,[],1
05007,Benton County,[],17
05013,Calhoun County,['Harrell Brake'],1
05017,Chicot County,[],3
05019,Clark County,[],372
05021,Clay County,[],18
05027,Columbia County,[],1
05029,Conway County,['Kuhn Bayou'],5
05031,Craighead County,[],11
05035,Crittenden County,[],56
05037,Cross County,[],37
05039,Dallas County,[],7
05041,Desha County,[],4
05043,Drew County,[],1
05045,Faulkner County,['Bell Slough Moist-soil Unit'],8
05047,Franklin County,[],5
05049,Fulton County,[],1
05051,Garland County,[],3
05055,Greene County,[],52
05057,Hempstead County,[],6
05059,Hot Spring County,[],30
05061,Howard County,[],3
05063,Independence County,[],1
05065,Izard County,[],2
05067,Jackson County,[],47
05069,Jefferson County,[],96
05071,Johnson County,[],14
05073,Lafayette County,[],3
05075,Lawrence County,[],11
05077,Lee County,[],40
05079,Lincoln County,[],5
05081,Little River County,[],8
05083,Logan County,[],9
05085,Lonoke County,[],27
05091,Miller County,['Bradley Lake'],5
05093,Mississippi County,['Bear Bayou'],38
05095,Monroe County,[],21
05097,Montgomery County,[],16
05099,Nevada County,[],8
05103,Ouachita County,[],2
05105,Perry County,[],1
05107,Phillips County,[],34
05109,Pike County,[],16
05111,Poinsett County,[],9
05115,Pope County,[],28
05117,Prairie County,[],14
05119,Pulaski County,"['William E. ""Bill"" Clark Wetlands', 'Forty Point Lake']",73
05121,Randolph County,[],18
05123,St. Francis County,[],54
05125,Saline County,[],4
05127,Scott County,[],3
05135,Sharp County,[],3
05139,Union County,[],1
05145,White County,[],59
05147,Woodruff County,[],24
05149,Yell County,[],27
