countyCode,state,total_claims,total_building_damage,total_content_damage
19087,IA,1,0.0,0.0
19089,IA,8,25717.4,6131.15
19091,IA,39,229466.7,1541.01
19093,IA,8,35529.57,136.95
19095,IA,36,187360.63,79653.1
19097,IA,42,338777.8,26518.55
19099,IA,36,1045910.95,229978.35
19103,IA,446,24710977.18,6677622.17
19105,IA,121,2424246.62,1637841.76
19107,IA,3,29216.38,2495.84
19109,IA,2,22494.0,167.5
19111,IA,141,2327141.81,1630082.11
19113,IA,1351,55647189.18,10432983.42
19115,IA,120,3609298.71,470553.99
19117,IA,5,19112.52,0.0
19119,IA,75,1579820.45,96529.03
19121,IA,7,98908.96,0.0
19123,IA,11,133408.56,1020.0
19125,IA,26,450197.79,36271.26
19127,IA,30,151630.66,23595.73
19129,IA,121,4360663.94,1797196.8
19131,IA,24,374643.57,92643.16
19133,IA,30,678598.62,22071.08
19135,IA,1,355.0,0.0
19137,IA,82,232941.34,7293.9
19139,IA,354,4633535.33,455275.68
19141,IA,4,122457.97,22015.99
19143,IA,2,21352.38,0.0
19145,IA,3,6833.12,0.0
19147,IA,4,27245.39,10457.95
19149,IA,25,592735.79,12814.29
19153,IA,1524,27720295.55,8863044.14
19155,IA,867,9585435.26,1226316.64
19161,IA,2,0.0,0.0
19163,IA,2265,28475393.38,5733084.78
19165,IA,15,218572.32,39093.58
19167,IA,40,3418102.17,507231.81
19167,SD,3,40811.16,0.0
19169,IA,283,10100357.32,2822903.28
19171,IA,145,1205621.72,166784.18
19173,IA,6,27870.86,0.0
19175,IA,13,62985.92,63555.72
19177,IA,53,483595.59,34161.06
19179,IA,119,1850555.1,444572.75
19181,IA,23,190177.59,57442.65
19183,IA,15,180067.11,8638.92
19187,IA,93,2071765.96,583163.8
19189,IA,2,186.0,0.0
19191,IA,31,311126.05,53615.66
19193,IA,294,1812153.41,92155.38
19195,IA,5,0.0,7347.39
19197,IA,2,2368.61,0.0
20001,KS,91,2478298.64,676798.96
20003,KS,4,160192.35,30361.49
20005,KS,3,31391.41,0.0
20007,KS,3,1219.16,0.0
20009,KS,513,2202870.45,129221.76
20011,KS,64,1345848.9,1092258.31
20015,KS,505,8535027.21,3886969.23
20017,KS,28,217457.0,15367.88
20019,KS,1,439.0,0.0
20021,KS,85,1342760.99,195479.14
20027,KS,5,9017.55,1728.1
20029,KS,2,35000.0,0.0
20031,KS,5,134622.11,0.0
20035,KS,142,1881778.15,222973.57
20037,KS,145,1288722.83,415398.13
20041,KS,86,170315.73,3833.98
20043,KS,95,642181.58,210324.76
20045,KS,149,1569228.97,297364.84
20047,KS,10,1669.34,0.0
20049,KS,1,25000.0,0.0
20051,KS,97,205078.37,40722.37
20053,KS,7,49233.88,5300.0
20055,KS,13,29159.83,4352.92
20057,KS,55,133646.2,9014.25
20059,KS,28,590183.86,91107.89
20061,KS,31,220603.0,6067.0
20067,KS,1,1882.34,0.0
20073,KS,6,5495.66,0.0
20077,KS,1,0.0,0.0
20079,KS,403,2890934.23,324813.43
20085,KS,4,103608.83,0.0
20087,KS,49,1040079.56,66751.4
20089,KS,1,9396.95,2458.88
20091,KS,1155,9769420.09,3371494.15
20093,KS,1,0.0,0.0
