Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
6452,Florida Power & Light Co,6045,St Lucie,6501 S. Ocean Dr.,Jensen Beach,FL,33497,St Lucie,27.348611,-80.246389,SERC,FPL,Florida Power & Light Company,Atlantic Ocean,22,RE,1,Electric Utility,N,,N,,N,,,X,,Florida Power & Light Co,6452,FL,230, , ,N,,,,,,,
7140,Georgia Power Co,6051,Edwin I Hatch,US Highway 1 North,Baxley,GA,31513,Appling,31.9342,-82.3447,SERC,SOCO,"Southern Company Services, Inc. - Trans",Altamah River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,500, , ,N,,,,,,X,X
12465,"System Energy Resources, Inc",6072,Grand Gulf,7003 Bald Hill Rd,Port Gibson,MS,39150,Claiborne,32.0081,-91.0478,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River Aquifer,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Entergy Mississippi Inc,12685,MS,500, , ,N,,,,,,,
14328,Pacific Gas & Electric Co.,6099,Diablo Canyon,Avila Rd. bet. Montano de Oro,Avila Beach,CA,93424,San Luis Obispo,35.211536,-120.855542,WECC,CISO,California Independent System Operator,Pacific Ocean,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Pacific Gas & Electric Co,14328,CA,500, , ,N,,,,,,X,X
14266,TalenEnergy Susquehanna LLC,6103,TalenEnergy Susquehanna,769 Salem Blvd,Berwick,PA,18603,Luzerne,41.0919,-76.1462,RFC,PJM,"PJM Interconnection, LLC",Susquehanna River,22,NR,2,IPP Non-CHP,N,,N,,Y,00-43-000,N,X,,PPL Electric Utilities Corp,14715,PA,230,500, ,N,,,,,,X,X
55951,Constellation Nuclear,6105,Limerick,Off Route 422; P O Box 2300,Sanatoga,PA,19464,Montgomery,40.224303,-75.58744,RFC,PJM,"PJM Interconnection, LLC",Schuylkill & Delaware Rivers,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,PECO Energy Co,14940,PA,500,230, ,N,,,,,,N,X
55951,Constellation Nuclear,6110,James A Fitzpatrick,Lake Road,Lycoming,NY,13093,Oswego,43.52139,-76.408394,NPCC,NYIS,New York Independent System Operator,Lake Ontario,22,NR,2,IPP Non-CHP,N,,N,,Y,00-2738-001,N,X,,New York Power Authority,15296,,345, , ,N,,,,,,N,X
6854,NextEra Energy Seabrook LLC,6115,Seabrook,626 Lafayette Road,Seabrook,NH,3874,Rockingham,42.899167,-70.848889,NPCC,ISNE,ISO New England Inc.,Atlantic Ocean,22,NR,2,IPP Non-CHP,N,,N,,Y,02-1838-008,N,X,,Public Service Co of NH,15472,NH,345, , ,N,,,,,,X,X
15478,PSEG Nuclear LLC,6118,PSEG Hope Creek Generating Station,P O Box 236 End of Buttonwood,Hancocks Bridge,NJ,8038,Salem,39.4666,-75.5377,RFC,PJM,"PJM Interconnection, LLC",Delaware River,22,NR,2,IPP Non-CHP,N,,N,,Y,00-002-000,N,X,,Public Service Elec & Gas Co,15477,NJ,500, , ,N,,,,,,,
55951,Constellation Nuclear,6122,R E Ginna Nuclear Power Plant,Lake Rd.,Ontario,NY,14519,Wayne,43.2777,-77.3099,NPCC,NYIS,New York Independent System Operator,Lake Ontario,22,NR,2,IPP Non-CHP,N,,N,,Y,04-73-000,N,X,,Rochester Gas & Electric Corp,16183,NY,115, , ,N,,,,,,N,X
17539,"Dominion Energy South Carolina, Inc",6127,V C Summer,Bradham Boulevard off Hwy 215,Jenkinsville,SC,29065,Fairfield,34.2983,-81.3153,SERC,SCEG,Dominion Energy South Carolina,Broad River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Dominion Energy South Carolina,17539,SC,230, , ,N,,,,,,X,X
55983,Luminant Generation Company LLC,6145,Comanche Peak,Farm to Market Road 56,Glen Rose,TX,76043,Somervell,32.298365,-97.785515,TRE,ERCO,"Electric Reliability Council of Texas, Inc.",Squaw Creek,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Oncor Electric Delivery Company LLC,44372,TX,345, , ,N,,,,,,N,N
64225,Energy Harbor Nuclear Generation LLC,6149,Davis Besse,5501 N State Route 2,Oak Harbor,OH,43449,Ottawa,41.5967,-83.0861,RFC,PJM,"PJM Interconnection, LLC",Lake Erie,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,The Toledo Edison Co,18997,OH,345, , ,N,,,,,,N,X
18642,Tennessee Valley Authority,6152,Sequoyah,Sequoyah Rd. PO Box 2000,Soddy Daisy,TN,37379,Hamilton,35.2267,-85.0917,SERC,TVA,Tennessee Valley Authority,Chickamauga Reservoir,22,RE,1,Electric Utility,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,500, , ,N,,,,,,,
19436,Union Electric Co - (MO),6153,Callaway,Route CC,Fulton,MO,65251,Callaway,38.758919,-91.778841,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Missouri River,22,RE,1,Electric Utility,N,,N,,N,,,X,,Union Electric Co - (MO),19436,MO,345, , ,N,,,,,,,
19876,Virginia Electric & Power Co,6168,North Anna,1022 Haley Dr,Mineral,VA,23117,Louisa,38.06,-77.7897,SERC,PJM,"PJM Interconnection, LLC",North Anna River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Virginia Electric & Power Co,19876,VA,500, , ,N,,,,,,,
21535,STP Nuclear Operating Co,6251,South Texas Project,8 mi. W. of Wadsworth on FM521,Wadsworth,TX,77483,Matagorda,28.795,-96.0481,TRE,ERCO,"Electric Reliability Council of Texas, Inc.",Colorado River,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Austin Energy,1015,TX,256, , ,N,,,,,,X,X
11241,Entergy Louisiana LLC,6462,River Bend,5485 U.S. Highway 61,St. Francisville,LA,70775,West Feliciana,30.757,-91.3327,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Entergy Louisiana LLC,11241,LA,230, , ,N,,,,,,,
18642,Tennessee Valley Authority,7722,Watts Bar Nuclear Plant,Hwy 68 PO Box 2000,Spring City,TN,37381,Rhea,35.6021,-84.7895,SERC,TVA,Tennessee Valley Authority,Chickamauga Lake,22,RE,1,Electric Utility,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,500, , ,N,,,,,,,
55951,Constellation Nuclear,8011,Crane Clean Energy Center,PO Box 480,Middletown,PA,17057,Dauphin,40.1515,-76.7232,RFC,PJM,"PJM Interconnection, LLC",Susquehanna River,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Metropolitan Edison Co,12390,PA,230, , ,N,,,,,,N,X
13337,Nebraska Public Power District,8036,Cooper Nuclear Station,P.O. Box 98,Brownville,NE,68321,Nemaha,40.3628,-95.6408,MRO,SWPP,Southwest Power Pool,Missouri River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,345, , ,N,,None,,,,X,X
814,Entergy Arkansas LLC,8055,Arkansas Nuclear One,1448 STATE RD 333,Russellville,AR,72801,Pope,35.311,-93.2351,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Lake Dardenelle,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Entergy Arkansas Inc,814,AR,500, , ,N,,,,,,,
