object_id,line_id,line_type,status,owner,voltage_kv,voltage_class,inferred,substation_1,substation_2,naics_desc,shape_length
48881,138461,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,161,100-161,N,LEWISBURG,LOST CITY,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3298.65685049404
48882,138462,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,UNKNOWN111872,UNKNOWN112571,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,32701.4517983144
48883,138463,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,UNKNOWN119239,TAP149275,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,9035.84296587407
48887,125100,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,345,345,N,COOPERS CORNER,MARCY,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,297542.96110835
48889,138499,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN113607,UNKNOWN113716,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1747.9868142017
48890,138467,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,345,345,Y,UNKNOWN128514,BELLE RIVER,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,42849.0433484224
48891,138468,AC; OVERHEAD,IN SERVICE,CITY OF KANSAS CITY - (KS),161,100-161,Y,BPU SOLAR FARM,QUINDARO,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,7726.39705111178
48892,138469,AC; OVERHEAD,IN SERVICE,KENTUCKY UTILITIES CO,138,100-161,Y,E W BROWN,TAP155533,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,529.334881956817
48894,138471,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,UNKNOWN115169,TAP147414,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,112.86685410629
48895,138538,AC; OVERHEAD,IN SERVICE,NEBRASKA PUBLIC POWER DISTRICT,115,100-161,Y,UNKNOWN132428,UNKNOWN132429,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4845.94728871959
48896,138473,AC; OVERHEAD,NOT AVAILABLE,NOT AVAILABLE,161,100-161,Y,REID,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,177.556071468719
48897,138475,AC; OVERHEAD,IN SERVICE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,TAP136124,HUDSON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4143.14499520086
48899,138474,AC; OVERHEAD,IN SERVICE,GULF POWER CO,115,100-161,Y,UNKNOWN108199,TAP161586,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,823.675114768281
48901,138480,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,230,220-287,Y,UNKNOWN115706,YATES,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,29207.2455830931
48902,138483,OVERHEAD,NOT AVAILABLE,ENTERGY ARKANSAS INC,115,100-161,Y,GEORGIA-PACIFIC CROSSETT LLC,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,239.723412661162
