Name,State,Location,Capacity(MW),Capacity Factor,Annual Generation (GWh),CO2 emissions (Tons/year) [2][3],CO2 emissions/ Annual Generation,Majority Owner,Fuel type,Retired,Ref
Tanner's Creek,Indiana,39°04′53″N 84°51′39″W﻿ / ﻿39.08139°N 84.86083°W,995,,,,,Indiana Michigan Power,Bituminous coal,"May 31, 2015",[42][151]
Tecumseh,Kansas,39°03′13″N 95°34′07″W﻿ / ﻿39.053556°N 95.568475°W,231.6,,,,,Evergy Kansas Central Inc,Sub-bituminous coal,2018,[152]
Titus,Pennsylvania,40°18′19″N 75°54′31″W﻿ / ﻿40.3054°N 75.908581°W,225,,,,,GenOn Holdings Inc,Bituminous coal,2013,[153]
Tobaccoville,North Carolina,36°15′04″N 80°22′01″W﻿ / ﻿36.2511°N 80.3669°W,80,,,,,Reynolds American Inc,Coal,2004,[154]
Trigen Syracuse [note 11],New York,43°03′55″N 76°12′30″W﻿ / ﻿43.065381°N 76.208311°W,90.6,,,,,Dynegy Generation NA Inc,Bituminous coal,2013,[155]
Tyrone,Kentucky,38°02′50″N 84°50′53″W﻿ / ﻿38.0471°N 84.848133°W,75,,,,,Kentucky Utilities Co,Bituminous coal,2013,[156][157]
Utah Smelter [note 12],Utah,40°43′18″N 112°11′53″W﻿ / ﻿40.721589°N 112.198006°W,132,,,,,Kennecott Utah Copper LLC,Bituminous coal,2019,[158]
Vermilion,Illinois,40°10′41″N 87°44′53″W﻿ / ﻿40.178055°N 87.748055°W,182.3,,,,,Dynegy Midwest Generation Inc,Bituminous coal,2011,[159]
W. H. Sammis,Ohio,40°31′48″N 80°37′51″W﻿ / ﻿40.53000°N 80.63083°W,2220,,"3,957 (2019)",,,Energy Harbor,Bituminous coal,June 2023 (units 5–7),[160][161][162]
Wabash [note 13],Indiana,39°31′39″N 87°25′23″W﻿ / ﻿39.527389°N 87.423178°W,1164.7,,,,,Wabash Valley Power Association Inc Duke Energy Indiana LLC,Bituminous coal [note 14],2016,[163]
Wansley,Georgia,33°24′22″N 85°2′17″W﻿ / ﻿33.40611°N 85.03806°W,1904,17%,"2,791 (2018)","2,704,960 (2018)",,Southern Power,Bituminous coal,2022,[164]
